INSTNM,CITY,STABBR,TUITIONFEE_IN,TUITIONFEE_OUT,GraduationRate
University of Bridgeport,Bridgeport,CT,35760.0,35760.0,0.4809
Central Connecticut State University,New Britain,CT,12460.0,25736.0,0.4933
Connecticut College,New London,CT,64812.0,64812.0,0.8375
University of Connecticut,Storrs,CT,20366.0,43034.0,0.838
Goodwin University,East Hartford,CT,21198.0,21198.0,0.5833
Eastern Connecticut State University,Willimantic,CT,13292.0,16624.0,0.5814
Fairfield University,Fairfield,CT,56360.0,56360.0,0.8379
University of Hartford,West Hartford,CT,47647.0,47647.0,0.5828
Holy Apostles College and Seminary,Cromwell,CT,9580.0,9580.0,1.0
Mitchell College,New London,CT,39050.0,39050.0,0.4414
University of New Haven,West Haven,CT,45730.0,45730.0,0.5925
Paier College,Bridgeport,CT,26400.0,26400.0,0.5714
Post University,Waterbury,CT,17100.0,17100.0,0.3534
Quinnipiac University,Hamden,CT,53090.0,53090.0,0.7728
Sacred Heart University,Fairfield,CT,48460.0,48460.0,0.745
University of Saint Joseph,West Hartford,CT,45908.0,45908.0,0.697
Southern Connecticut State University,New Haven,CT,12828.0,26104.0,0.4782
Trinity College,Hartford,CT,67420.0,67420.0,0.8276
Wesleyan University,Middletown,CT,67316.0,67316.0,0.9157
Western Connecticut State University,Danbury,CT,12763.0,16095.0,0.5025
Yale University,New Haven,CT,64700.0,64700.0,0.9633
Delaware Technical Community College-Terry,Dover,DE,4965.0,11828.0,0.1945
Delaware State University,Dover,DE,10314.0,20250.0,0.3866
University of Delaware,Newark,DE,16080.0,39720.0,0.7878
Goldey-Beacom College,Wilmington,DE,13440.0,13440.0,0.5886
Wilmington University,New Castle,DE,12330.0,12330.0,0.2257
American University,Washington,DC,56543.0,56543.0,0.7849
The Catholic University of America,Washington,DC,55834.0,55834.0,0.8133
University of the District of Columbia,Washington,DC,6152.0,13004.0,0.2626
Gallaudet University,Washington,DC,18382.0,18382.0,0.4656
George Washington University,Washington,DC,64990.0,64990.0,0.8518
Georgetown University,Washington,DC,65081.0,65081.0,0.943
Howard University,Washington,DC,33344.0,33344.0,0.689
Strayer University-District of Columbia,Washington,DC,13920.0,13920.0,0.0
Trinity Washington University,Washington,DC,26110.0,26110.0,0.444
Baptist University of Florida,Graceville,FL,13800.0,13800.0,0.6923
Barry University,Miami,FL,33450.0,33450.0,0.3659
Bethune-Cookman University,Daytona Beach,FL,14794.0,14794.0,0.2783
Lynn University,Boca Raton,FL,42950.0,42950.0,0.5269
Eastern Florida State College,Melbourne,FL,2496.0,9739.0,0.5122
Broward College,Fort Lauderdale,FL,2830.0,8952.0,0.3611
Albizu University-Miami,Miami,FL,13128.0,13128.0,0.6
College of Central Florida,Ocala,FL,2710.0,10517.0,0.4396
Johnson University Florida,Kissimmee,FL,19658.0,19658.0,0.2364
University of Central Florida,Orlando,FL,6368.0,22467.0,0.7515
Chipola College,Marianna,FL,3120.0,8950.0,0.6126
Daytona State College,Daytona Beach,FL,3106.0,11994.0,0.4123
South University-West Palm Beach,Royal Palm Beach,FL,18238.0,18238.0,0.2143
Eckerd College,Saint Petersburg,FL,50374.0,50374.0,0.6756
Florida SouthWestern State College,Fort Myers,FL,3401.0,12979.0,0.3854
Edward Waters University,Jacksonville,FL,14878.0,14878.0,0.2795
Embry-Riddle Aeronautical University-Daytona Beach,Daytona Beach,FL,42304.0,42304.0,0.6736
Florida Agricultural and Mechanical University,Tallahassee,FL,5785.0,17725.0,0.5194
Florida Atlantic University,Boca Raton,FL,4879.0,17324.0,0.6433
Florida State College at Jacksonville,Jacksonville,FL,2878.0,9992.0,0.3243
Flagler College,Saint Augustine,FL,26610.0,26610.0,0.5589
Florida College,Temple Terrace,FL,18920.0,18920.0,0.5064
AdventHealth University,Orlando,FL,20880.0,20880.0,0.3562
Florida Institute of Technology,Melbourne,FL,44360.0,44360.0,0.6545
Florida International University,Miami,FL,6565.0,18963.0,0.7387
The College of the Florida Keys,Key West,FL,3279.0,13162.0,0.408
Florida Memorial University,Miami Gardens,FL,19110.0,19110.0,0.3023
Florida Southern College,Lakeland,FL,42360.0,42360.0,0.6933
Florida State University,Tallahassee,FL,5656.0,18786.0,0.8299
University of Florida,Gainesville,FL,6381.0,28659.0,0.9151
Full Sail University,Winter Park,FL,26417.0,26417.0,0.4959
Gulf Coast State College,Panama City,FL,2370.0,8635.0,0.448
Hillsborough Community College,Tampa,FL,2506.0,9111.0,0.332
Hobe Sound Bible College,Hobe Sound,FL,9068.0,9068.0,0.6071
Indian River State College,Fort Pierce,FL,2764.0,10201.0,0.4248
Jacksonville University,Jacksonville,FL,46180.0,46180.0,0.5697
Keiser University-Ft Lauderdale,Fort Lauderdale,FL,24136.0,24136.0,0.4421
Florida Gateway College,Lake City,FL,3100.0,11747.0,0.5657
Lake-Sumter State College,Leesburg,FL,3292.0,13276.0,0.4466
Luther Rice College & Seminary,Lithonia,GA,10538.0,10538.0,0.0
State College of Florida-Manatee-Sarasota,Bradenton,FL,3074.0,11595.0,0.3487
Miami Dade College,Miami,FL,2838.0,9661.0,0.4469
University of Miami,Coral Gables,FL,59926.0,59926.0,0.8423
North Florida College,Madison,FL,3054.0,11400.0,0.6348
University of North Florida,Jacksonville,FL,6389.0,20793.0,0.6818
Nova Southeastern University,Fort Lauderdale,FL,37080.0,37080.0,0.6434
Northwest Florida State College,Niceville,FL,3246.0,11625.0,0.4288
Palm Beach Atlantic University,West Palm Beach,FL,37990.0,37990.0,0.5895
Palm Beach State College,Lake Worth,FL,3050.0,10910.0,0.4122
Pasco-Hernando State College,New Port Richey,FL,3155.0,12032.0,0.4293
Pensacola State College,Pensacola,FL,2348.0,9407.0,0.4198
Polk State College,Winter Haven,FL,3366.0,12272.0,0.3396
Ringling College of Art and Design,Sarasota,FL,55480.0,55480.0,0.708
Rollins College,Winter Park,FL,58300.0,58300.0,0.7689
Saint Leo University,Saint Leo,FL,28360.0,28360.0,0.4878
St Petersburg College,St. Petersburg,FL,2682.0,9286.0,0.3747
Santa Fe College,Gainesville,FL,2563.0,9189.0,0.5209
Seminole State College of Florida,Sanford,FL,3227.0,11447.0,0.4195
St. John Vianney College Seminary,Miami,FL,23100.0,23100.0,1.0
Saint Johns River State College,Palatka,FL,2830.0,10352.0,0.4573
South Florida State College,Avon Park,FL,3165.0,11859.0,0.5113
University of South Florida,Tampa,FL,6410.0,17324.0,0.7458
St. Thomas University,Miami Gardens,FL,34770.0,34770.0,0.4342
Stetson University,DeLand,FL,55220.0,55220.0,0.628
Southeastern University,Lakeland,FL,31732.0,31732.0,0.433
Tallahassee Community College,Tallahassee,FL,2026.0,8062.0,0.3692
Talmudic College of Florida,Miami Beach,FL,16750.0,16750.0,0.5882
The University of Tampa,Tampa,FL,33424.0,33424.0,0.6192
Trinity Baptist College,Jacksonville,FL,14300.0,14300.0,0.4423
Trinity College of Florida,Trinity,FL,16300.0,16300.0,0.0
Valencia College,Orlando,FL,2474.0,9383.0,0.4352
Warner University,Lake Wales,FL,28160.0,28160.0,0.3492
Webber International University,Babson Park,FL,32150.0,32150.0,0.2601
Rasmussen University-Florida,Ocala,FL,15117.0,15117.0,0.5103
University of West Florida,Pensacola,FL,6360.0,19241.0,0.6176
Abraham Baldwin Agricultural College,Tifton,GA,3195.0,10101.0,0.2912
Agnes Scott College,Decatur,GA,48150.0,48150.0,0.7052
Albany State University,Albany,GA,5934.0,16656.0,0.2279
